ResidentID,FirstName,LastName,PropertyID,UnitNumber,MoveInDate,MoveOutDate
R0091,Michael,Johnson,P010,38,2024-12-29,
R0092,Sarah,Johnson,P008,94,2024-10-06,
R0093,John,Lee,P010,95,2025-08-15,
R0094,Maria,Johnson,P002,305,2025-12-14,
R0095,Maria,Johnson,P005,69,2024-06-06,
R0096,Maria,Johnson,P009,318,2025-09-23,
R0097,Michael,Smith,P004,236,2024-02-28,
R0098,John,Smith,P006,334,2025-12-27,
R0099,Michael,Smith,P001,373,2024-05-07,
R0100,Robert,Lee,P009,376,2025-12-21,
R0101,Michael,Davis,P001,137,2024-04-24,
R0102,John,Johnson,P005,76,2024-07-27,
R0103,John,Johnson,P004,35,2025-06-09,
R0104,Robert,Lee,P003,1,2025-06-04,
R0105,John,Johnson,P006,296,2025-07-05,
R0106,John,Smith,P002,320,2024-08-24,
R0107,Maria,Davis,P003,60,2024-10-07,
R0108,Robert,Garcia,P005,320,2024-12-24,
R0109,Alex,Johnson,P009,349,2024-07-19,
R0110,Alex,Smith,P002,328,2024-10-04,
R0111,John,Garcia,P010,267,2024-08-22,
R0112,Alex,Davis,P008,361,2025-05-08,
R0113,Alex,Garcia,P002,229,2024-01-04,
R0114,John,Smith,P005,270,2025-10-27,
R0115,Alex,Garcia,P007,316,2025-03-17,
R0116,Michael,Lee,P008,286,2024-01-29,
R0117,Sarah,Garcia,P001,291,2024-04-18,
R0118,Robert,Johnson,P006,213,2025-09-01,
R0119,Sarah,Johnson,P001,165,2025-12-27,
R0120,John,Lee,P002,5,2024-03-15,2026-08-27 07:26:53.793103448
R0121,Maria,Smith,P001,339,2024-05-25,
R0122,Robert,Johnson,P005,379,2024-05-07,
R0123,John,Davis,P010,78,2024-02-11,
R0124,Maria,Johnson,P009,62,2024-12-21,
R0125,Sarah,Johnson,P006,132,2024-02-10,
R0126,John,Smith,P001,89,2024-02-03,
R0127,Robert,Garcia,P001,237,2024-01-17,
R0128,Robert,Johnson,P002,42,2025-11-07,
R0129,Emily,Lee,P009,89,2024-06-01,
R0130,Michael,Garcia,P003,296,2025-01-12,
R0131,Alex,Davis,P001,328,2025-08-10,
R0132,Maria,Smith,P005,295,2025-08-21,
R0133,Emily,Davis,P007,104,2025-09-20,
R0134,Alex,Garcia,P006,14,2024-12-07,
R0135,Alex,Garcia,P001,288,2024-01-27,
R0136,John,Garcia,P005,179,2024-10-13,
R0137,Alex,Davis,P005,125,2025-10-07,2025-06-25 23:10:20.689655172
R0138,Michael,Garcia,P006,353,2025-12-31,
R0139,Robert,Davis,P003,23,2024-06-16,
R0140,Emily,Garcia,P005,63,2025-09-01,
R0141,Alex,Lee,P007,143,2024-09-24,
R0142,John,Garcia,P005,153,2025-03-30,
R0143,Michael,Davis,P005,145,2025-11-15,
R0144,Sarah,Johnson,P005,225,2025-02-04,
R0145,Robert,Garcia,P010,309,2025-04-20,
R0146,Robert,Johnson,P010,104,2025-12-02,
R0147,Emily,Lee,P003,104,2025-09-25,
R0148,Robert,Smith,P001,39,2025-07-11,
R0149,Alex,Lee,P005,198,2025-07-29,
R0150,John,Garcia,P009,134,2024-05-09,
R0151,Robert,Johnson,P001,67,2024-12-28,2025-12-18 22:20:41.379310344
R0152,Robert,Johnson,P003,391,2025-12-05,
R0153,Sarah,Davis,P004,179,2025-11-23,
R0154,Sarah,Johnson,P001,42,2024-10-18,
R0155,Maria,Davis,P001,15,2025-01-05,
R0156,Michael,Smith,P008,111,2024-01-29,
R0157,Alex,Garcia,P002,157,2024-05-28,
R0158,Robert,Davis,P008,289,2024-10-22,
R0159,Robert,Smith,P007,231,2024-01-11,
R0160,John,Johnson,P010,157,2025-05-26,
R0161,Maria,Johnson,P010,38,2025-11-06,
R0162,Michael,Smith,P002,97,2024-04-22,
R0163,Maria,Johnson,P006,289,2024-07-05,
R0164,Emily,Smith,P006,254,2024-08-14,2025-12-18 22:20:41.379310344
R0165,Michael,Davis,P003,196,2024-11-05,
R0166,Robert,Davis,P002,86,2024-04-07,
R0167,Robert,Smith,P001,322,2024-02-24,
R0168,Michael,Davis,P006,10,2025-09-14,2025-01-01 00:00:00.000000000
R0169,Robert,Davis,P005,5,2025-10-25,2025-12-18 22:20:41.379310344
R0170,Alex,Davis,P009,123,2025-02-09,
R0171,Michael,Lee,P001,330,2024-03-09,
R0172,Maria,Garcia,P007,353,2024-11-07,2026-03-04 08:16:33.103448272
R0173,Michael,Johnson,P005,118,2024-10-15,
R0174,Robert,Lee,P005,294,2025-07-01,
R0175,Alex,Davis,P002,397,2024-05-27,
R0176,Alex,Smith,P003,159,2025-04-11,
R0177,Emily,Davis,P007,303,2024-08-31,
R0178,Maria,Garcia,P006,228,2025-05-05,
R0179,Sarah,Davis,P002,365,2025-05-21,
R0180,Sarah,Smith,P006,216,2024-12-30,
R0181,Michael,Garcia,P002,184,2025-04-26,
R0182,Emily,Davis,P002,15,2024-07-19,
R0183,John,Garcia,P002,157,2024-06-02,
R0184,Michael,Johnson,P003,136,2025-03-25,
R0185,Emily,Johnson,P002,261,2025-05-15,
R0186,Maria,Davis,P004,157,2024-03-13,
R0187,Maria,Garcia,P009,47,2025-12-13,
R0188,Maria,Smith,P006,324,2024-10-22,
R0189,Maria,Davis,P001,332,2024-01-17,
R0190,Maria,Johnson,P008,173,2025-10-02,2025-09-09 09:06:12.413793104
R0191,Emily,Johnson,P007,130,2024-08-04,2025-08-15 05:47:35.172413792
R0192,Emily,Davis,P010,95,2024-03-01,
R0193,Alex,Garcia,P003,115,2025-09-07,2025-03-17 09:55:51.724137931
R0194,Sarah,Johnson,P001,243,2024-02-11,2025-01-01 00:00:00.000000000
R0195,Robert,Garcia,P005,292,2024-01-25,
R0196,Maria,Johnson,P004,282,2024-02-08,
R0197,John,Johnson,P010,299,2024-05-10,
R0198,Robert,Lee,P008,283,2025-05-12,
R0199,Emily,Johnson,P001,69,2024-08-16,
R0200,John,Smith,P010,148,2024-04-17,
R0201,John,Davis,P001,11,2024-06-20,
R0202,John,Davis,P004,254,2025-03-10,
R0203,Alex,Garcia,P008,330,2025-04-22,
R0204,Emily,Johnson,P005,360,2024-04-11,
R0205,John,Smith,P002,38,2025-06-07,
R0206,Maria,Garcia,P006,134,2024-10-01,
R0207,Michael,Lee,P005,200,2025-09-04,
R0208,John,Garcia,P002,23,2024-02-13,
R0209,Alex,Garcia,P003,303,2024-01-17,
R0210,Robert,Johnson,P009,346,2024-11-25,
R0211,Emily,Lee,P007,302,2025-07-22,
R0212,Alex,Garcia,P007,363,2025-05-11,
R0213,John,Smith,P006,396,2024-01-12,
R0214,Emily,Smith,P008,218,2024-11-13,2025-02-20 06:37:14.482758620
R0215,Michael,Davis,P004,141,2025-08-14,
R0216,John,Lee,P008,104,2024-08-03,
R0217,Alex,Lee,P004,210,2024-12-04,
R0218,Sarah,Davis,P008,111,2025-10-22,
R0219,Maria,Garcia,P009,104,2024-03-21,
R0220,Robert,Lee,P003,316,2025-12-27,
R0221,Alex,Smith,P003,171,2025-04-29,
R0222,Emily,Smith,P002,356,2025-01-08,
R0223,John,Johnson,P010,324,2025-12-10,
R0224,Maria,Lee,P003,133,2024-07-18,
R0225,John,Garcia,P003,376,2025-06-20,
R0226,Emily,Davis,P005,293,2025-04-10,2025-05-31 19:51:43.448275862
R0227,John,Davis,P005,328,2024-03-29,2025-03-17 09:55:51.724137931
R0228,Sarah,Garcia,P002,127,2024-09-24,
R0229,Maria,Johnson,P010,106,2025-10-16,
R0230,Maria,Davis,P006,92,2025-07-24,
R0231,Emily,Lee,P005,287,2025-05-03,
R0232,Robert,Johnson,P006,378,2025-06-21,
R0233,Sarah,Lee,P001,393,2024-02-16,2026-03-29 11:35:10.344827584
R0234,Alex,Smith,P005,51,2024-10-14,
R0235,John,Johnson,P009,29,2024-01-16,
R0236,Michael,Davis,P010,296,2025-12-11,
R0237,John,Johnson,P002,297,2025-02-04,
R0238,John,Johnson,P001,214,2024-03-26,
R0239,Alex,Johnson,P010,267,2024-09-06,
R0240,John,Johnson,P009,257,2025-01-25,
R0241,Sarah,Lee,P010,302,2024-11-30,
R0242,Sarah,Smith,P009,101,2025-09-20,
R0243,Maria,Garcia,P009,346,2025-06-02,
R0244,Emily,Johnson,P006,110,2024-05-16,
R0245,Robert,Davis,P008,182,2025-11-18,
R0246,Michael,Johnson,P001,313,2025-05-12,
R0247,John,Davis,P010,1,2025-12-27,
R0248,John,Lee,P004,319,2025-04-21,
R0249,Alex,Davis,P001,55,2025-08-16,
R0250,Emily,Garcia,P008,371,2024-08-10,
R0251,Sarah,Smith,P001,399,2025-01-06,
R0252,Michael,Davis,P003,149,2025-02-05,2026-03-29 11:35:10.344827584
R0253,Maria,Davis,P004,309,2025-03-18,
R0254,Sarah,Smith,P008,137,2025-05-04,
R0255,Emily,Garcia,P006,202,2025-09-06,
R0256,Robert,Johnson,P010,313,2024-09-29,
R0257,Maria,Davis,P007,117,2025-06-09,
R0258,Robert,Smith,P008,154,2024-06-07,
R0259,Alex,Lee,P002,291,2024-05-31,
R0260,Alex,Smith,P010,63,2025-09-11,
R0261,John,Lee,P008,244,2024-07-06,
R0262,Robert,Garcia,P003,25,2024-04-07,
R0263,Emily,Johnson,P007,90,2024-05-10,
R0264,Michael,Smith,P003,75,2024-06-19,
R0265,Maria,Davis,P007,294,2024-07-01,
R0266,Sarah,Garcia,P002,386,2024-12-29,
R0267,Emily,Smith,P010,391,2024-02-08,
R0268,Emily,Davis,P006,210,2025-06-10,
R0269,Alex,Smith,P003,347,2025-05-11,
R0270,Robert,Lee,P003,17,2025-05-30,
R0271,John,Smith,P009,128,2024-12-14,
R0272,John,Smith,P007,364,2025-01-31,
R0273,Maria,Smith,P005,251,2025-12-22,
R0274,Alex,Garcia,P010,179,2024-06-09,
R0275,Emily,Smith,P007,182,2024-01-16,
R0276,Michael,Davis,P009,152,2025-05-07,
R0277,Alex,Lee,P001,25,2025-03-01,
R0278,Maria,Lee,P007,180,2024-04-17,
R0279,Maria,Smith,P006,198,2025-03-25,
R0280,Alex,Garcia,P010,344,2024-11-06,
R0281,Maria,Garcia,P009,161,2024-06-18,
R0282,Alex,Davis,P001,177,2025-06-29,
R0283,Sarah,Smith,P004,285,2025-02-17,2026-10-16 14:04:08.275862064
R0284,Alex,Lee,P009,63,2024-09-07,
R0285,Robert,Garcia,P004,150,2024-05-20,
R0286,Alex,Smith,P010,154,2024-09-30,
R0287,Maria,Garcia,P003,156,2025-02-19,
R0288,Robert,Garcia,P009,370,2025-08-30,
R0289,Maria,Lee,P002,49,2024-02-08,
R0290,John,Johnson,P004,337,2024-01-29,
R0291,John,Davis,P006,84,2025-04-21,
R0292,Robert,Davis,P002,361,2024-11-13,
R0293,Sarah,Lee,P008,177,2024-09-01,
R0294,John,Garcia,P008,148,2025-11-27,
R0295,Alex,Smith,P001,118,2024-09-28,
R0296,Maria,Garcia,P003,342,2025-03-15,
R0297,John,Lee,P010,63,2024-08-26,
R0298,John,Davis,P009,189,2025-01-11,
R0299,Sarah,Garcia,P005,360,2024-09-22,2026-03-04 08:16:33.103448272
R0300,Robert,Davis,P006,49,2024-12-24,2026-12-31 00:00:00.000000000
